approx_payout_date,country,currency,num_order,num_payouts,payout_type,previous_payouts,sale_duration,sale_duration2,show_map,user_age,venue_address,venue_name,fraud,event_id,cost,availability,quantity_total,quantity_sold
1266062400,US,USD,0,0,,0,29.0,33,1,36,717 Washington Avenue,INK Nightclub - South Beach,True,527017.0,625.0,3.0,920.0,0
1296720000,US,USD,23,1,CHECK,49,28.0,28,0,149,,"The Charleston, SC area",False,786878.0,70.0,2.0,100.0,25
1296172800,US,USD,19,4,CHECK,36,54.0,54,0,214,10100 Pioneer Blvd Suite 100,Los Angeles County Office of Education,False,787337.0,93.51,1.0,48.0,48
1388966400,IE,EUR,39,16,ACH,21,0.0,0,0,889,,,False,885645.0,82.0,6.0,30000.0,58
1297900800,US,USD,30,0,CHECK,49,63.0,63,0,35,One Marina Park Drive ,Fish & Richardson,False,1114349.0,814.0,8.0,264.0,39
1300496400,US,USD,14,3,CHECK,5,65.0,65,1,299,,Georgetown College Alumni Gymnasium,False,1179983.0,47.0,4.0,1405.0,37
1297909800,US,USD,12,3,ACH,15,35.0,35,1,706,6N East St,Danielle's Restaurant,False,1180179.0,785.57,5.0,1245.0,36
1296709200,US,USD,6,5,ACH,470,21.0,21,1,71,372 Depot Street,The Magnetic Field,False,1180391.0,14.0,1.0,64.0,57
1298185200,US,USD,12,0,ACH,2,33.0,38,0,0,465 California Street,,False,1180423.0,250.0,1.0,75.0,14
1297314000,US,USD,14,9,ACH,470,28.0,28,1,71,372 Depot Street,The Magnetic Field,False,1180435.0,14.0,1.0,64.0,64
1296504000,US,USD,14,25,CHECK,96,16.0,19,0,729,1 South Van Ness,,False,1180497.0,73.96000000000002,2.0,45.0,33
1298070000,US,USD,13,24,ACH,262,27.0,27,0,430,,San Francisco location given in confirmation letter,False,1213143.0,30.0,1.0,30.0,21
1303095600,US,USD,2,4,CHECK,50,71.0,75,0,814,1150 South Freeway,Ft. Worth Business Assistance Center,False,1245411.0,485.56,4.0,80.0,7
1301889600,US,USD,16,13,ACH,63,62.0,62,1,465,2 Palo Alto Square,Nixon Peabody,False,1245735.0,70.0,2.0,70.0,21
1300942800,US,USD,9,1,CHECK,8,51.0,51,1,197,1650 Schrader Boulevard ,Eden Lounge,False,1245809.0,225.0,2.0,2000.0,58
1302494400,US,USD,143,656,CHECK,1264,56.0,61,1,371,1200 Carlls Straight Path,Candlewood Middle School,False,1278699.0,10.0,1.0,600.0,237
1300075200,US,USD,90,476,CHECK,1264,32.0,33,1,371,376 Hale Street,"Endicott College, Center for the Arts, Rose Performance Hall",False,1278715.0,10.0,1.0,250.0,186
1299823200,US,USD,2,0,CHECK,1,19.0,19,1,3,117 Pond Rd,Spring Hill,False,1310811.0,10.0,1.0,100.0,3
1313881200,US,USD,8,6,ACH,11,185.0,185,0,709,10720 Cambie Rd.,,False,1310849.0,474.08,1.0,50.0,8
1313136000,US,USD,181,1,ACH,11,19.0,51,1,125,101 Henry Adams St,San Francisco Design Center: Galleria,False,1310985.0,780.0,4.0,994.0,281
1302328800,FR,EUR,54,0,ACH,1,38.0,46,1,2,"98, bd du Montparnasse",,False,1311215.0,512.0,35.0,7389.0,1551
1300298400,US,USD,1,10,CHECK,31,27.0,27,1,383,6990 Portwest Drive #100,Percussion Center,False,1311633.0,100.0,1.0,1.0,1
1300478400,US,USD,4,6,CHECK,13,19.0,19,1,448,4909 N Morey Rd,Timber Wolf Lake,False,1343963.0,50.0,1.0,40.0,5
1302462000,US,USD,12,55,CHECK,207,35.0,35,0,454,Upstairs Training Room,First American Title,False,1376573.0,9.4,1.0,40.0,23
1302060600,US,USD,54,1,CHECK,2,27.0,30,1,109,25151 Arctic Ocean Dr.,Digital EYE Media,False,1376585.0,35.0,2.0,125.0,97
1303434000,US,USD,2,79,ACH,406,46.0,46,1,536,550 Bunker Lake Boulevard NW,Bunker Park Stables,False,1377131.0,50.0,1.0,15.0,2
1299607200,US,USD,1,0,ACH,0,0.0,0,0,42,400 Fifth Avenue,The Setai,True,1386643.0,500.0,2.0,35.0,2
1303788600,US,USD,227,5,CHECK,192,34.0,35,1,259,1400 S. Lakes Shore Drive,"The Field Museum, James Simpson Theatre",False,1442103.0,8.46,1.0,600.0,599
1309474800,US,USD,4,26,ACH,216,100.0,100,1,245,1750 West Loop South,Houston Marriott West Loop by The Galleria,False,1442185.0,13811.56,7.0,4090.0,4
1305104400,US,USD,44,3,ACH,15,16.0,16,1,863,6675 Hollywood Boulevard,Supperclub Los Angeles,False,1507459.0,50.0,2.0,600.0,67
1305018000,US,USD,402,0,CHECK,3,13.0,35,0,608,807 East Main Street #350,The Cottonroom Durham,False,1507635.0,91.52,3.0,1400.0,484
1314919800,US,USD,3,3,ACH,44,13.0,150,0,219,,ALCATRAZ ISLAND,False,1507815.0,50.0,4.0,260.0,69
1305084600,US,USD,26,2,ACH,24,20.0,20,1,205,2960 N Shoreline Blvd,Michael's at Shoreline,False,1572881.0,22.76,1.0,50.0,29
1309467600,US,USD,6,0,ACH,2,47.0,70,0,91,,,False,1573079.0,199.21,4.0,450.0,8
1305567000,US,USD,2,6,ACH,49,26.0,26,0,161,One Marina Park Drive ,Fish & Richardson,False,1573545.0,75.0,4.0,130.0,36
1306796400,CA,CAD,48,0,ACH,6,21.0,24,0,0,410 - 999 Canada Place,"Five Sails Restaurant, Pan Pacific Hotel",False,1573787.0,64.81,1.0,200.0,125
1307649600,US,USD,10,1,CHECK,2,38.0,38,1,247,168 Merrimon Avenue,C3 Church Asheville,False,1605819.0,145.71,5.0,336.0,12
1309413600,US,USD,16,4,CHECK,14,60.0,60,1,620,20401 Hilliard Blvd.,West Shore Unitarian Universalist Church,False,1606203.0,2502.92,10.0,1100.0,266
1308286800,US,USD,78,1,ACH,12,9.0,9,0,39,709 G St NW #400,Gibson Guitar's Washington DC Showroom,False,1606251.0,15.0,1.0,110.0,109
1316534400,US,USD,23,0,CHECK,6,120.0,128,1,931,10 S. West Street ,JW Marriott ,False,1671219.0,1102.57,4.0,11200.0,65
1312398000,US,USD,1,0,ACH,1,68.0,68,0,0,6245 Sylvan Dr,The Live Ride Christian Church,False,1704255.0,,3.0,210.0,54
1307224800,US,USD,2,0,ACH,2,12.0,12,0,384,5 Tranquility Base,The Huntsville Marriott,False,1704735.0,140.0,5.0,600.0,14
