event_id,cost,availability,quantity_total,quantity_sold
527017.0,625.0,3.0,920.0,0
786878.0,70.0,2.0,100.0,25
787337.0,93.51,1.0,48.0,48
885645.0,82.0,6.0,30000.0,58
1114349.0,814.0,8.0,264.0,39
1179983.0,47.0,4.0,1405.0,37
1180179.0,785.57,5.0,1245.0,36
1180391.0,14.0,1.0,64.0,57
1180423.0,250.0,1.0,75.0,14
1180435.0,14.0,1.0,64.0,64
1180497.0,73.96000000000001,2.0,45.0,33
1213143.0,30.0,1.0,30.0,21
1245411.0,485.56,4.0,80.0,7
1245735.0,70.0,2.0,70.0,21
1245809.0,225.0,2.0,2000.0,58
1278699.0,10.0,1.0,600.0,237
1278715.0,10.0,1.0,250.0,186
1310811.0,10.0,1.0,100.0,3
1310849.0,474.08,1.0,50.0,8
1310985.0,780.0,4.0,994.0,281
1311215.0,512.0,35.0,7389.0,1551
1311633.0,100.0,1.0,1.0,1
1343963.0,50.0,1.0,40.0,5
1376573.0,9.4,1.0,40.0,23
1376585.0,35.0,2.0,125.0,97
1377131.0,50.0,1.0,15.0,2
1386643.0,500.0,2.0,35.0,2
1442103.0,8.46,1.0,600.0,599
1442185.0,13811.56,7.0,4090.0,4
1507459.0,50.0,2.0,600.0,67
1507635.0,91.52,3.0,1400.0,484
1507815.0,50.0,4.0,260.0,69
1572881.0,22.76,1.0,50.0,29
1573079.0,199.20999999999998,4.0,450.0,8
1573545.0,75.0,4.0,130.0,36
1573787.0,64.81,1.0,200.0,125
1605819.0,145.71,5.0,336.0,12
1606203.0,2502.92,10.0,1100.0,266
1606251.0,15.0,1.0,110.0,109
1671219.0,1102.57,4.0,11200.0,65
1704255.0,,3.0,210.0,54
1704735.0,140.0,5.0,600.0,14
1737295.0,,1.0,200.0,20
1737605.0,210.0,4.0,301.0,1
1769553.0,22.5,2.0,120.0,2
1770371.0,17.91,3.0,10100.0,55
1770403.0,5.0,1.0,20.0,1
1840495.0,215.0,4.0,1100.0,26
1868469.0,41.54,1.0,1000.0,26
1900721.0,10.0,1.0,500.0,9
1901149.0,46.26,1.0,130.0,30
1928009.0,433.0,25.0,480.0,9
1933487.0,465.0,6.0,325.0,92
1934033.0,5.93,1.0,100.0,33
1964043.0,500.0,1.0,100.0,0
1998849.0,337.5,3.0,75.0,8
1999765.0,10.0,1.0,300.0,84
2031641.0,,3.0,800.0,84
2031653.0,40.0,4.0,1400.0,8
2031823.0,20.0,2.0,200.0,28
2031895.0,,5.0,400.0,38
2065037.0,385.0,7.0,497.0,491
2065313.0,860.2700000000001,16.0,833.0,803
2097355.0,12.85,1.0,100.0,2
2130264.0,35.0,1.0,34.0,34
2130574.0,17.91,1.0,400.0,27
2163386.0,30.0,1.0,300.0,2
2163464.0,15.0,1.0,300.0,4
2192094.0,5.0,1.0,50.0,1
2196356.0,20.0,2.0,100.0,39
2228484.0,30.0,1.0,50.0,0
2228620.0,8.46,1.0,40.0,9
2228986.0,8.46,1.0,33.0,7
2261334.0,31.09,2.0,250.0,4
2261356.0,10.0,1.0,200.0,6
2261460.0,10.0,1.0,200.0,5
2326998.0,22.63,1.0,52.0,38
2327014.0,27.8,4.0,300.0,2
2360140.0,52.55,6.0,110.0,68
2360226.0,8.75,1.0,12.0,2
2424838.0,250.0,1.0,40.0,30
2425032.0,70.0,2.0,1000.0,2
2425270.0,20.0,2.0,250.0,43
2425348.0,615.0,6.0,1595.0,243
2457932.0,4112.55,1.0,10.0,1
2458264.0,10.0,1.0,40.0,4
2490426.0,35.0,1.0,140.0,28
2490702.0,332.95,3.0,6.0,2
2523242.0,35.0,2.0,400.0,40
2523402.0,245.76,1.0,12.0,9
2523610.0,2589.4,2.0,2.0,1
2556282.0,75.0,2.0,12.0,1
2556416.0,250.0,1.0,1.0,1
2556850.0,8.94,5.0,4000.0,130
2589262.0,3.76,1.0,50.0,2
2589534.0,60.0,3.0,170.0,77
2589614.0,68.0,4.0,530.0,12
2621588.0,2620.0,4.0,206.0,198
2687671.0,,1.0,100000.0,15
2687765.0,35.0,2.0,360.0,10
2719841.0,45.31,1.0,25.0,17
2720077.0,116.0,14.0,30792.0,80
2720111.0,13.18,1.0,60.0,57
2720347.0,360.0,16.0,240.0,5
2720475.0,15.0,1.0,30.0,3
2720691.0,140.0,6.0,141.0,118
2753111.0,15.0,1.0,50.0,25
2753403.0,140.76,1.0,10.0,1
2785301.0,15.0,1.0,50.0,17
2785633.0,115.0,5.0,230.0,22
2785789.0,49.99,1.0,9.0,9
2785937.0,183.28,1.0,300.0,1
2818155.0,3.73,1.0,100.0,10
2850861.0,31.75,2.0,18.0,6
2851275.0,52.87,1.0,3.0,3
2851737.0,66.0,4.0,168.0,6
2884023.0,75.0,2.0,150.0,141
2916513.0,4.05,1.0,70.0,29
2916769.0,156.85,3.0,51.0,49
2916845.0,90.53,1.0,100.0,15
2981983.0,10.29,3.0,300.0,277
2992917.0,20.0,1.0,50.0,9
3015171.0,338.0,2.0,30.0,14
3015583.0,13.45,1.0,50.0,28
3047729.0,6.5,1.0,400.0,268
3047895.0,45.26,2.0,150.0,49
3048075.0,20.64,3.0,200.0,16
3048129.0,116.00999999999999,14.0,5426.0,182
3048157.0,600.0,2.0,120.0,9
3048217.0,8.46,1.0,50.0,3
3090085.0,140.76,1.0,1000.0,1
3104463.0,2050.0,3.0,300.0,3
3112971.0,937.24,4.0,36.0,17
3129449.0,49.72,2.0,27.0,5
3145815.0,394.01000000000005,6.0,2900.0,17
3145837.0,31.94,7.0,1750.0,274
3145841.0,,2.0,100.0,2
3146313.0,10.0,2.0,16.0,7
3146607.0,5.03,2.0,43.0,35
3179183.0,95.0,2.0,117.0,81
3244275.0,140.76,1.0,1000.0,3
3249649.0,92.9,1.0,150.0,92
3277515.0,25.0,2.0,23.0,23
3282379.0,1079.62,6.0,624.0,14
3310151.0,1230.0,7.0,75.0,2
3310391.0,325.03,2.0,26.0,15
3342981.0,20.0,1.0,40.0,8
3375205.0,65.64,3.0,60.0,2
3375465.0,158.0,4.0,295.0,66
